Comment Date,Comment
"Jul 29, 2019, 9:24:03 PM",Dang u fast
"Jul 30, 2019, 1:55:19 PM",Prateek Gunnam workout day 👀
"Aug 13, 2019, 12:05:15 AM",U like the kudos I gave?
"Sep 10, 2019, 1:17:22 AM","i'm jealous
"
"Feb 22, 2021, 9:54:42 PM","imma have to try this someday, looks hella fun
"
"Apr 5, 2021, 11:52:10 PM",Zoe Van Winckel queen shit
"Apr 5, 2021, 11:53:21 PM",Ajit Kadaveru I see what u did there
"Apr 8, 2021, 1:49:41 AM",Feels good to see distance increasing and pace decreasing
"Apr 9, 2021, 8:13:44 PM",Crazy
"Apr 10, 2021, 5:31:05 PM",How do I lower by heart rate
"Apr 15, 2021, 2:54:55 PM",Dope
"Apr 19, 2021, 6:13:29 PM",Impressed
"May 3, 2021, 8:55:11 PM",Impressive
"May 8, 2021, 10:14:35 PM",I see u
"Aug 2, 2021, 3:01:29 PM",Hella beautiful
"Oct 4, 2021, 4:36:05 PM",Love to see it
"Oct 25, 2021, 9:01:10 PM","You got to watch your speed, you almost crashed into a runner "
"Oct 26, 2021, 3:42:07 AM","Liam O’Casey One of these days I'll become fast enough again to have to confidence to come
"
"Feb 28, 2022, 2:38:18 PM",Damn what a beast
"Feb 28, 2022, 2:38:26 PM",Crazy stufd
"May 1, 2022, 6:44:34 PM",Speedy Zhan
"May 3, 2022, 3:43:17 AM",Can I join the class remotely
