Join Date,Name,Completed
"Jul 20, 2017, 11:07:36 PM",July Run Climbing Challenge,false
"Jul 20, 2017, 11:07:56 PM",July Cycling Distance Challenge,false
"Nov 23, 2018, 9:38:00 PM",Turkey Trot Challenge,true
"Jun 27, 2019, 6:58:46 PM",June Running Distance Challenge,false
"Jul 8, 2019, 9:59:12 PM",July 5K Virtual Race,false
"Jul 8, 2019, 9:59:17 PM",July Half Marathon,true
"Jul 8, 2019, 9:59:26 PM",July 10K,true
"Jul 8, 2019, 9:59:44 PM",Race to the Moon,true
"Jul 29, 2019, 9:24:32 PM",August Running Distance Challenge,false
"Aug 21, 2019, 3:00:18 AM",The Escape Plan,false
"Apr 8, 2020, 7:20:55 PM",Smartwool Ultra Run Challenge,false
"Apr 8, 2020, 7:21:18 PM","Bigfoot, The Social Distancing Champion's 5K",false
"Jun 7, 2022, 4:35:27 PM",Core Power 10 Mile Challenge,true
