Promotion Seen,Timestamp
FeedFollowOptionCoachmark,1593114612
GapActivityDetailUpsell,1617667902
GapActivityDetailUpsell,1617901103
GapActivityDetailUpsell,1617901137
GapActivityDetailUpsell,1631289176
GapActivityDetailUpsell,1635186492
GapActivityDetailUpsell,1635186663
GapActivityDetailUpsell,1636768572
GapActivityDetailUpsell,1646059137
GapActivityDetailFeatureEd,1655254089
EvergreenStatsShareFeatureEd,1656030203
NavigationTabHome,1616868226
NavigationTabMaps,1616868241
NavigationTabGroups,1616868245
NavigationTabYou,1616868247
NavigationTabYouProgress,1618498552
NavigationTabYouActivities,1616868252
NavigationTabYouProfile,1616868251
NavigationTabMapsSegments,1616868241
NavigationTabMapsRoutes,1635199287
NavigationTabMapsSaved,1655254266
NavigationTabGroupsActive,1617846543
NavigationTabGroupsChallenges,1641736667
NavigationHomeEducationCoachmarkImpression,1620500297
NavigationHomeEducationCoachmarkImpression,1620500709
NavigationHomeEducationCoachmarkImpression,1620511950
NavigationHomeEducationCoachmarkImpression,1620512061
NavigationHomeEducationCoachmarkImpression,1620590153
NavigationHomeEducationCoachmarkImpression,1620620727
NavigationYouProgressEducationCoachmarkImpression,1635791110
NavigationYouProgressEducationCoachmarkImpression,1641679993
NavigationYouProgressEducationCoachmarkImpression,1645598400
NavigationYouProgressEducationCoachmarkImpression,1645714830
NavigationYouProgressEducationCoachmarkImpression,1645715492
NavigationYouProgressEducationCoachmarkImpression,1648046194
NavigationYouActivitiesEducationCoachmarkImpression,1650207997
NavigationYouActivitiesEducationCoachmarkImpression,1650208040
NavigationYouActivitiesEducationCoachmarkImpression,1650208062
NavigationYouActivitiesEducationCoachmarkImpression,1650208115
NavigationYouActivitiesEducationCoachmarkImpression,1651068690
NavigationYouActivitiesEducationCoachmarkImpression,1651245588
NavigationTabEducationModalMapsJ2,1624248391
NavigationTabEducationModalGroupsJ2,1624248393
ActivityDetailsLeaderboardQualityCoachmark,1635350722
ActivityDetailsLeaderboardQualityCoachmark,1635516624
RecordScreenRoutesCoachmark,1633848454
DistanceElevationNoticeDismissed,1636423583
RecordScreenBeaconCoachmark,1631334312
MapSettingsPersonalHeatmapCoachmark,1635199287
MapSettingsButtonPersonalHeatmapFeatureEd,1635199295
MapVisibilityFeedCoachmarkImpression,1663368399
MapVisibilityFeedCoachmarkImpression,1663548060
MapVisibilityFeedCoachmarkOrModalDismissed,1663548068
MapVisibilityActivityCoachmarkImpression,1636407068
MapVisibilityActivityCoachmarkImpression,1636644446
MapVisibilityActivityCoachmarkImpression,1636728196
MapVisibilityActivityCoachmarkImpression,1636756186
MapVisibilityActivityCoachmarkImpression,1636756197
MapVisibilityActivityCoachmarkDismissed,1636756233
WelcomeBackKudosCoachmarkImpression,1640454576
WelcomeBackKudosCoachmarkImpression,1640454578
WelcomeBackKudosCoachmarkImpression,1641728389
WelcomeBackKudosCoachmarkImpression,1644071999
WelcomeBackKudosCoachmarkImpression,1645598375
WelcomeBackKudosCoachmarkImpression,1647018010
WelcomeBackKudosCoachmarkImpression,1647986579
WelcomeBackKudosCoachmarkImpression,1647993025
WelcomeBackKudosCoachmarkImpression,1647993026
WelcomeBackKudosCoachmarkImpression,1648089631
WelcomeBackKudosCoachmarkImpression,1649087095
WelcomeBackKudosCoachmarkImpression,1649134308
WelcomeBackKudosCoachmarkImpression,1650207688
WelcomeBackKudosCoachmarkImpression,1650207957
WelcomeBackKudosCoachmarkImpression,1650208040
WelcomeBackKudosCoachmarkImpression,1652383017
WelcomeBackKudosCoachmarkImpression,1652536377
WelcomeBackKudosCoachmarkImpression,1652809926
WelcomeBackKudosCoachmarkImpression,1653767749
WelcomeBackKudosCoachmarkImpression,1654086480
WelcomeBackKudosCoachmarkImpression,1654120317
WelcomeBackKudosCoachmarkImpression,1654188318
WelcomeBackKudosCoachmarkImpression,1654188347
WelcomeBackKudosCoachmarkImpression,1654393886
WelcomeBackKudosCoachmarkImpression,1654807670
WelcomeBackKudosCoachmarkImpression,1654807691
WelcomeBackKudosCoachmarkImpression,1655590681
WelcomeBackKudosCoachmarkImpression,1656022383
WelcomeBackKudosCoachmarkImpression,1656023350
WelcomeBackKudosCoachmarkImpression,1656030600
WelcomeBackKudosCoachmarkImpression,1656343673
WelcomeBackKudosCoachmarkImpression,1657793674
WelcomeBackKudosCoachmarkImpression,1657794140
WelcomeBackKudosCoachmarkImpression,1659292669
WelcomeBackKudosCoachmarkImpression,1662239220
WelcomeBackKudosCoachmarkImpression,1662243939
WelcomeBackKudosCoachmarkImpression,1662330000
WelcomeBackKudosCoachmarkImpression,1662331331
WelcomeBackKudosCoachmarkImpression,1662701111
WelcomeBackKudosCoachmarkImpression,1662733162
WelcomeBackKudosCoachmarkImpression,1662756861
WelcomeBackKudosCoachmarkImpression,1663675755
WelcomeBackKudosCoachmarkImpression,1663723746
WelcomeBackKudosCoachmarkImpression,1664323059
WelcomeBackKudosCoachmarkImpression,1664987507
WelcomeBackKudosCoachmarkImpression,1666224631
WelcomeBackKudosCoachmarkImpression,1666230419
WelcomeBackKudosCoachmarkImpression,1666331500
WelcomeBackKudosCoachmarkImpression,1666331977
WelcomeBackKudosCoachmarkImpression,1667400062
WelcomeBackKudosCoachmarkImpression,1667504090
WelcomeBackKudosCoachmarkImpression,1667504175
WelcomeBackKudosCoachmarkImpression,1667504224
WelcomeBackKudosCoachmarkImpression,1667768375
RouteFromActivityMoreOptionsButtonCoachmark,1638164516
RouteFromActivitySaveButtonCoachmark,1638632695
MapVisibilitySettingCogCoachmark,1647988474
Map3dEducationVisibility,1647018037
RouteLongPressCoachmark,1655254046
WinbackNotificationSeen,1646671744
WinbackNotificationSeen,1648706053
WinbackNotificationSeen,1649602523
WinbackNotificationSeen,1652206472
WinbackNotificationSeen,1652630718
WinbackNotificationSeen,1653677533
WinbackNotificationSeen,1654352294
WinbackNotificationSeen,1654713245
WinbackNotificationSeen,1655343024
WinbackNotificationSeen,1657155942
WinbackNotificationSeen,1658100771
WinbackNotificationSeen,1658723191
WinbackNotificationSeen,1659269249
WinbackNotificationSeen,1661699763
WinbackNotificationSeen,1662195235
WinbackNotificationSeen,1662653258
WinbackNotificationSeen,1663651918
WinbackNotificationSeen,1664052370
WinbackNotificationSeen,1666209019
WinbackNotificationSeen,1666901710
WinbackNotificationSeen,1667275522
WinbackNotificationSeen,1668818448
MentionsSettingCogCoachmark,1653767816
DirtSportsSportPicker,1655254134
DirtSportsSportPicker,1655254214
DirtSportsSportPicker,1655254217
DirtSportsGoals,1655254134
DirtSportsGoals,1655254214
DirtSportsGoals,1655254217
MapsTabDirtSports,1655253977
Tdf2022FeedFollow,1656022382
Tdf2022FeedFollow,1656023350
Tdf2022FeedFollow,1656030255
Tdf2022FeedFollow,1656373346
Tdf2022FeedFollow,1656783684
Tdf2022FeedFollow,1657793673
Tdf2022FeedFollow,1657794140
OfflineMapsFirstTimeExperience,1662330004
VideoNotificationMonthlySoftLimit,1659280192
VideoNotificationMonthlySoftLimit,1662655936
VideoNotificationHardLimit,1659280192
VideoNotificationHardLimit,1662655936
SettingsStudentPlanNewLabel,1663045190
SettingsStudentPlanNewLabel,1667504136
FollowingFeedDoradoCooldown,1659292667
FollowingFeedDoradoCooldown,1659661359
FollowingFeedDoradoCooldown,1660365046
FollowingFeedDoradoCooldown,1660791319
FollowingFeedDoradoCooldown,1660939919
FollowingFeedDoradoCooldown,1661135992
FollowingFeedDoradoCooldown,1661311843
FollowingFeedDoradoCooldown,1661384415
FollowingFeedDoradoCooldown,1661397162
FollowingFeedDoradoCooldown,1661543608
FollowingFeedDoradoCooldown,1661693196
FollowingFeedDoradoCooldown,1662239219
FollowingFeedDoradoCooldown,1662329999
FollowingFeedDoradoCooldown,1662397304
FollowingFeedDoradoCooldown,1662701110
FollowingFeedDoradoCooldown,1662733161
FollowingFeedDoradoCooldown,1662756860
FollowingFeedDoradoCooldown,1662912662
FollowingFeedDoradoCooldown,1663027789
FollowingFeedDoradoCooldown,1663045182
FollowingFeedDoradoCooldown,1663368375
FollowingFeedDoradoCooldown,1663521686
FollowingFeedDoradoCooldown,1663548060
FollowingFeedDoradoCooldown,1663675753
FollowingFeedDoradoCooldown,1663723745
FollowingFeedDoradoCooldown,1664042910
FollowingFeedDoradoCooldown,1664323058
FollowingFeedDoradoCooldown,1664514668
FollowingFeedDoradoCooldown,1664649743
FollowingFeedDoradoCooldown,1664987505
FollowingFeedDoradoCooldown,1665445957
FollowingFeedDoradoCooldown,1665615511
CommentNotificationCoachmark,1660791322
NycmActivitySuggestion,1667768331
