Reaction Date,Reaction Type,Parent Type,Parent ID
"Jul 23, 2017, 3:33:04 AM",Kudos,Activity,1096021422
"Aug 1, 2017, 2:26:55 AM",Kudos,Activity,1110537381
"Aug 11, 2017, 3:06:12 PM",Kudos,Activity,1127557022
"Aug 11, 2017, 3:06:14 PM",Kudos,Activity,1127423457
"Aug 11, 2017, 3:06:16 PM",Kudos,Activity,1127417694
"Aug 11, 2017, 3:06:20 PM",Kudos,Activity,1127687104
"Mar 30, 2018, 9:13:16 PM",Kudos,Activity,1472951891
"Aug 22, 2018, 2:03:04 AM",Kudos,Activity,1788842354
"Aug 24, 2018, 8:02:54 PM",Kudos,Activity,1794817706
"Sep 10, 2018, 4:30:15 PM",Kudos,Activity,1831271199
"Sep 11, 2018, 2:19:11 AM",Kudos,Activity,1833392303
"Sep 12, 2018, 1:49:11 AM",Kudos,Activity,1835681737
"Jan 8, 2019, 3:35:28 AM",Kudos,Activity,2063257928
"Mar 28, 2019, 10:55:54 PM",Kudos,Activity,2237650711
"Mar 28, 2019, 10:56:17 PM",Kudos,Activity,2238986137
"Mar 28, 2019, 10:56:23 PM",Kudos,Activity,2238881596
"Apr 15, 2019, 4:05:14 AM",Kudos,Activity,2290560617
"Apr 15, 2019, 4:05:37 AM",Kudos,Activity,2287650697
"Apr 15, 2019, 4:05:43 AM",Kudos,Activity,2287930389
"Apr 15, 2019, 4:05:46 AM",Kudos,Activity,2285378056
"Jun 19, 2019, 9:43:17 PM",Kudos,Activity,2461752009
"Jun 19, 2019, 9:43:20 PM",Kudos,Activity,2461752008
"Jun 26, 2019, 10:15:04 AM",Kudos,Activity,2480868486
"Jun 26, 2019, 10:15:08 AM",Kudos,Activity,2481095778
"Jun 26, 2019, 10:15:17 AM",Kudos,Activity,2480868553
"Jul 8, 2019, 1:33:32 AM",Kudos,Activity,2512067877
"Jul 8, 2019, 1:33:40 AM",Kudos,Activity,2505084275
"Jul 9, 2019, 2:16:18 PM",Kudos,Activity,2516393581
"Jul 17, 2019, 12:17:04 AM",Kudos,Activity,2538132907
"Jul 17, 2019, 12:17:05 AM",Kudos,Activity,2535603474
"Jul 17, 2019, 12:17:25 AM",Kudos,Activity,2535567993
"Jul 25, 2019, 4:04:58 AM",Kudos,Activity,2558036106
"Jul 25, 2019, 4:05:08 AM",Kudos,Activity,2558009783
"Jul 25, 2019, 8:55:48 PM",Kudos,Post,5919243
"Jul 26, 2019, 2:50:14 AM",Kudos,Activity,2563470521
"Jul 29, 2019, 9:23:56 PM",Kudos,Activity,2570213207
"Jul 29, 2019, 9:24:14 PM",Kudos,Activity,2570394763
"Jul 30, 2019, 1:54:37 PM",Kudos,Activity,2574545221
"Jul 30, 2019, 1:54:59 PM",Kudos,Activity,2574339360
"Jul 31, 2019, 3:51:09 PM",Kudos,Activity,2577218860
"Aug 6, 2019, 1:43:06 AM",Kudos,Activity,2594404557
"Aug 13, 2019, 12:05:07 AM",Kudos,Activity,2613324465
"Aug 14, 2019, 2:01:55 AM",Kudos,Activity,2613977411
"Aug 17, 2019, 12:59:12 AM",Kudos,Activity,2625242816
"Aug 17, 2019, 12:59:14 AM",Kudos,Activity,2625254383
"Aug 18, 2019, 3:30:18 PM",Kudos,Activity,2627015224
"Aug 18, 2019, 3:30:20 PM",Kudos,Activity,2627254497
"Aug 18, 2019, 3:30:23 PM",Kudos,Activity,2626907738
"Aug 18, 2019, 3:30:25 PM",Kudos,Activity,2627332276
"Aug 18, 2019, 3:30:30 PM",Kudos,Activity,2626444310
"Aug 18, 2019, 3:30:32 PM",Kudos,Activity,2622640824
"Aug 21, 2019, 2:59:50 AM",Kudos,Activity,2636832780
"Aug 21, 2019, 2:59:52 AM",Kudos,Activity,2636918308
"Aug 21, 2019, 2:59:54 AM",Kudos,Activity,2636416924
"Aug 23, 2019, 2:12:14 PM",Kudos,Activity,2642946576
"Sep 3, 2019, 2:50:51 AM",Kudos,Activity,2674850576
"Sep 3, 2019, 2:50:58 AM",Kudos,Activity,2674582326
"Sep 3, 2019, 2:51:05 AM",Kudos,Activity,2650298321
"Sep 3, 2019, 2:51:07 AM",Kudos,Activity,2674582352
"Sep 3, 2019, 2:51:08 AM",Kudos,Activity,2668957458
"Sep 10, 2019, 1:14:42 AM",Kudos,Activity,2691275301
"Sep 10, 2019, 1:17:37 AM",Kudos,Activity,2690876794
"Nov 9, 2019, 2:48:19 PM",Kudos,Activity,2850841781
"Nov 28, 2019, 1:01:02 AM",Kudos,Activity,2895994079
"Mar 18, 2020, 6:29:33 PM",Kudos,Activity,3192457887
"Apr 8, 2020, 7:20:19 PM",Kudos,Post,8851579
"May 18, 2020, 4:07:21 PM",Kudos,Activity,3461167682
"May 18, 2020, 4:07:39 PM",Kudos,Activity,3469220197
"May 18, 2020, 4:07:48 PM",Kudos,Activity,3463200320
"May 24, 2020, 2:27:08 PM",Kudos,Activity,3499421166
"May 26, 2020, 12:54:33 AM",Kudos,Activity,3511997804
"May 26, 2020, 12:54:40 AM",Kudos,Activity,3511715689
"Jun 6, 2020, 8:10:57 PM",Kudos,Activity,3573947089
"Jun 6, 2020, 8:11:09 PM",Kudos,Activity,3567978494
"Jun 7, 2020, 10:19:03 PM",Kudos,Activity,3580215256
"Jun 7, 2020, 10:19:15 PM",Kudos,Activity,3578070264
"Jun 7, 2020, 10:19:23 PM",Kudos,Activity,3574675377
"Jun 8, 2020, 5:52:40 AM",Kudos,Activity,3580509664
"Jun 8, 2020, 5:52:58 AM",Kudos,Activity,3580509695
"Jun 13, 2020, 8:50:51 PM",Kudos,Activity,3600310702
"Jun 17, 2020, 4:26:12 PM",Kudos,Activity,3629059417
"Jun 24, 2020, 3:46:34 AM",Kudos,Activity,3649483719
"Jun 29, 2020, 11:12:57 PM",Kudos,Activity,3688494598
"Jun 29, 2020, 11:13:02 PM",Kudos,Activity,3688478703
"Jun 29, 2020, 11:13:10 PM",Kudos,Activity,3684653941
"Jul 16, 2020, 12:31:23 PM",Kudos,Activity,3762920171
"Jul 16, 2020, 12:31:53 PM",Kudos,Activity,3760837835
"Jul 20, 2020, 12:55:33 PM",Kudos,Activity,3787491925
"Jul 23, 2020, 4:17:09 PM",Kudos,Activity,3801959191
"Jul 23, 2020, 4:17:13 PM",Kudos,Activity,3801958713
"Jul 23, 2020, 4:17:16 PM",Kudos,Activity,3796435540
"Jul 23, 2020, 4:17:21 PM",Kudos,Activity,3795985024
"Sep 20, 2020, 4:11:19 PM",Kudos,Activity,4084211181
"Sep 20, 2020, 4:11:26 PM",Kudos,Activity,4087452795
"Sep 20, 2020, 4:11:29 PM",Kudos,Activity,4081975503
"Sep 20, 2020, 4:11:37 PM",Kudos,Activity,4088241104
"Sep 20, 2020, 4:11:43 PM",Kudos,Activity,4084744547
"Sep 20, 2020, 4:11:50 PM",Kudos,Activity,4073650451
"Dec 13, 2020, 4:23:49 PM",Kudos,Activity,4462766058
"Dec 13, 2020, 4:24:09 PM",Kudos,Activity,4464660333
"Dec 17, 2020, 3:11:14 PM",Kudos,Activity,4481386294
"Dec 17, 2020, 3:11:16 PM",Kudos,Activity,4481122406
"Dec 27, 2020, 3:56:41 PM",Kudos,Activity,4516618060
"Dec 27, 2020, 3:56:53 PM",Kudos,Activity,4521249831
"Dec 27, 2020, 3:56:57 PM",Kudos,Activity,4521944511
"Jan 12, 2021, 2:38:38 PM",Kudos,Activity,4605870415
"Jan 12, 2021, 2:39:31 PM",Kudos,Activity,4605743294
"Jan 13, 2021, 2:21:59 AM",Kudos,Activity,4610807370
"Jan 13, 2021, 11:06:09 PM",Kudos,Activity,4615974236
"Jan 13, 2021, 11:06:12 PM",Kudos,Activity,4616537014
"Jan 15, 2021, 9:31:10 PM",Kudos,Activity,4622342959
"Feb 22, 2021, 9:54:29 PM",Kudos,Activity,4826057446
"Feb 26, 2021, 12:21:56 AM",Kudos,Activity,4849549671
"Feb 26, 2021, 12:22:04 AM",Kudos,Activity,4843824409
"Mar 26, 2021, 7:06:29 PM",Kudos,Activity,5004650389
"Mar 26, 2021, 7:06:39 PM",Kudos,Activity,5000050392
"Mar 26, 2021, 7:06:44 PM",Kudos,Activity,4996406004
"Mar 27, 2021, 10:19:08 PM",Kudos,Activity,5021455528
"Apr 5, 2021, 1:00:42 AM",Kudos,Activity,5070591108
"Apr 5, 2021, 1:00:54 AM",Kudos,Activity,5062137524
"Apr 8, 2021, 4:57:50 PM",Kudos,Activity,5085098029
"Apr 9, 2021, 8:12:10 PM",Kudos,Activity,5097025582
